"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Geraint Thomas","Team Sky",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Michal Kwiatkowski","Team Sky",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Adam Yates","Mitchelton-Scott",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Warren Barguil","Fortuneo - Samsic",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Peter Sagan","BORA - hansgrohe",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Tony Martin","Team Katusha - Alpecin",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Greg Van Avermaet","BMC Racing Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Tony Gallopin","AG2R La Mondiale",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Alexander Kristoff","UAE-Team Emirates",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Grind my gears","Grinds my Gears"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Rui Costa","UAE-Team Emirates",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Adam Yates","Mitchelton-Scott",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Mikel Landa","Movistar Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Peter Sagan","BORA - hansgrohe",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Niki Terpstra","Quick-Step Floors",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Tony Martin","Team Katusha - Alpecin",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Mathew Hayman","Mitchelton-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Marcus Burghardt","BORA - hansgrohe",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Jim Martin","Cootha Kids"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Tom Dumoulin","Team Sunweb",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Nairo Quintana","Movistar Team",18,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Mikel Landa","Movistar Team",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Marcel Kittel","Team Katusha - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Alexandre Geniez","AG2R La Mondiale",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Dmitriy Gruzdev","Astana Pro Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Chad Haga","Team Sunweb",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Domenico Pozzovivo","Bahrain Merida Pro Cycling Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Julie Zeller","Rouleurette"
"Christopher Froome","Team Sky",26,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Robert Gesink","Team LottoNL-Jumbo",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Romain Bardet","AG2R La Mondiale",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Franco Pellizotti","Bahrain Merida Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Peter Sagan","BORA - hansgrohe",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Jack Bauer","Mitchelton-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Julien Simon","Cofidis Solutions Crédits",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Tobias Ludvigsson","Groupama - FDJ",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Jakob Fuglsang","Astana Pro Team",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Rich Johnston","Dick`s Dodgers"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Wout Poels","Team Sky",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Adam Yates","Mitchelton-Scott",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Jarlinson Pantano","Trek - Segafredo",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Arnaud Démare","Groupama - FDJ",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Niki Terpstra","Quick-Step Floors",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Jack Bauer","Mitchelton-Scott",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Michael Schar","BMC Racing Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Peter Sagan","BORA - hansgrohe",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Chris Fraser","Rear Derailleurs"
"Richie Porte","BMC Racing Team",22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Tom Dumoulin","Team Sunweb",16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Serge Pauwels","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Adam Yates","Mitchelton-Scott",14,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Peter Sagan","BORA - hansgrohe",20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Simon Gerrans","BMC Racing Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Greg Van Avermaet","BMC Racing Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Julien Vermote","Dimension Data",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Jay Robert Thomson","Dimension Data",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"David Leggett","Ricky Baker`s Bush Campers"
"Christopher Froome","Team Sky",26,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
"Rigoberto Uran","EF Education First-Drapac p/b Cannondale",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"Simon Lyons","Brake Rub Regression"
